Continent,Number of medical doctors (per 10 000 population) ,Happiness
Africa,4,4.475
Africa,4,4.475
Africa,4,4.475
Africa,4,4.475
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Asia,18,5.251
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
Europe,42,6.419
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
North America,18,6.262
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
Oceania,38,7.109
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
South America,31,5.929
